NumOfEventsInJourney,NumSessions,interactionTime,maxPrice,minPrice,NumCart,NumView,InsessionCart,InsessionView,weekday,timeOfDay,Purchase
1,1,0.0,380.7,380.7,0,1,0,3,6,1,0
1,1,0.0,382.53,382.53,0,1,0,1,5,1,0
1,1,0.0,476.18,476.18,0,1,0,2,2,6,0
1,1,0.0,33.42,33.42,0,1,0,3,6,2,0
1,1,0.0,35.77,35.77,0,1,0,1,3,2,0
1,1,0.0,42.73,42.73,0,1,0,1,6,4,0
1,1,0.0,178.9,178.9,0,1,0,3,5,1,0
1,1,0.0,5.79,5.79,0,1,0,1,7,7,0
1,1,0.0,463.07,463.07,0,1,0,1,7,1,0
1,1,0.0,114.55,114.55,0,1,0,1,7,6,0
1,1,0.0,949.47,949.47,0,1,0,1,5,4,0
1,1,0.0,136.9,136.9,0,1,0,1,2,3,0
1,1,0.0,518.67,518.67,0,1,0,1,4,3,0
1,1,0.0,914.0,914.0,0,1,0,1,5,5,0
1,1,0.0,258.25,258.25,0,1,0,1,6,4,0
1,1,0.0,200.75,200.75,0,1,0,1,1,4,0
1,1,0.0,10.27,10.27,0,1,0,1,4,3,0
1,1,0.0,242.01,242.01,0,1,0,1,6,6,0
1,1,0.0,411.57,411.57,0,1,0,2,7,1,0
1,1,0.0,46.31,46.31,0,1,0,1,7,5,0
1,1,0.0,41.11,41.11,0,1,0,1,5,2,0
2,2,1756475.0,32.18,29.55,0,2,0,1,3,5,0
1,1,0.0,138.57,138.57,0,1,0,1,5,6,0
1,1,0.0,0.0,0.0,0,1,0,1,6,4,0
1,1,0.0,53.03,53.03,0,1,0,1,7,3,0
1,1,0.0,24.19,24.19,0,1,0,1,3,5,0
1,1,0.0,128.68,128.68,0,1,0,1,6,5,0
1,1,0.0,411.59,411.59,0,1,0,1,4,1,0
1,1,0.0,36.04,36.04,0,1,0,1,4,5,0
1,1,0.0,82.63,82.63,0,1,0,1,3,7,0
1,1,0.0,44.79,44.79,0,1,0,1,5,4,0
1,1,0.0,134.46,134.46,0,1,0,1,7,1,0
1,1,0.0,71.79,71.79,0,1,0,2,3,5,0
1,1,0.0,193.97,193.97,0,1,0,1,6,6,0
1,1,0.0,1518.7,1518.7,0,1,0,1,6,3,0
1,1,0.0,38.33,38.33,0,1,0,1,7,1,0
1,1,0.0,155.47,155.47,0,1,0,1,4,5,0
1,1,0.0,218.28,218.28,0,1,0,2,5,4,0
1,1,0.0,252.57,252.57,0,1,0,1,5,5,0
1,1,0.0,43.73,43.73,0,1,0,1,7,6,0
1,1,0.0,128.45,128.45,0,1,0,2,7,3,0
1,1,0.0,493.94,493.94,0,0,0,1,7,6,1
1,1,0.0,1016.73,1016.73,0,1,0,1,5,5,0
1,1,0.0,591.78,591.78,0,1,0,2,4,3,0
1,1,0.0,205.15,205.15,0,1,0,2,7,4,0
1,1,0.0,282.63,282.63,0,1,0,1,3,6,0
1,1,0.0,214.68,214.68,1,0,1,0,2,4,0
1,1,0.0,118.41,118.41,0,1,0,1,7,3,0
1,1,0.0,10.04,10.04,0,1,0,1,7,5,0
1,1,0.0,518.94,518.94,0,1,0,1,1,6,0
1,1,0.0,309.32,309.32,0,1,0,1,5,4,0
1,1,0.0,102.45,102.45,0,1,0,2,6,4,0
1,1,0.0,99.1,99.1,0,1,0,1,6,1,0
1,1,0.0,1235.27,1235.27,0,1,0,1,1,6,0
1,1,0.0,310.18,310.18,0,1,0,2,3,5,0
1,1,0.0,126.13,126.13,0,1,0,2,1,1,0
1,1,0.0,233.95,233.95,0,1,0,3,7,3,0
1,1,0.0,466.68,466.68,0,1,0,1,5,3,0
1,1,0.0,62.81,62.81,0,1,0,2,1,5,0
1,1,0.0,205.67,205.67,0,1,0,1,5,1,0
2,2,187.0,152.87,152.87,1,1,1,1,2,5,0
1,1,0.0,142.09,142.09,0,1,0,1,5,1,0
1,1,0.0,811.66,811.66,0,1,0,2,6,4,0
1,1,0.0,30.89,30.89,0,1,0,1,1,1,0
1,1,0.0,360.06,360.06,0,1,0,1,6,3,0
1,1,0.0,118.5,118.5,0,1,0,2,5,5,0
1,1,0.0,155.29,155.29,0,1,0,1,2,6,0
1,1,0.0,177.1,177.1,0,1,0,1,6,5,0
1,1,0.0,298.33,298.33,0,1,0,1,7,5,0
1,1,0.0,386.08,386.08,0,1,0,2,1,1,0
1,1,0.0,386.88,386.88,0,1,0,2,1,3,0
1,1,0.0,437.33,437.33,0,1,0,1,5,6,0
1,1,0.0,1656.93,1656.93,0,1,0,1,7,5,0
1,1,0.0,913.28,913.28,0,1,0,1,2,5,0
1,1,0.0,1654.61,1654.61,0,1,0,1,3,1,0
1,1,0.0,46.85,46.85,0,1,0,1,3,5,0
1,1,0.0,106.77,106.77,0,1,0,1,7,6,0
1,1,0.0,51.22,51.22,0,1,0,1,2,6,0
1,1,0.0,151.61,151.61,0,1,0,1,6,1,0
1,1,0.0,993.95,993.95,0,1,0,1,5,1,0
1,1,0.0,159.59,159.59,0,1,0,2,5,1,0
1,1,0.0,20.08,20.08,0,1,0,1,3,3,0
1,1,0.0,72.59,72.59,0,1,0,1,2,2,0
1,1,0.0,77.22,77.22,0,1,0,1,7,1,0
1,1,0.0,38.35,38.35,0,1,0,1,5,1,0
1,1,0.0,89.84,89.84,0,1,0,1,3,6,0
1,1,0.0,926.64,926.64,0,1,0,1,6,3,0
1,1,0.0,61.01,61.01,0,1,0,1,5,1,0
1,1,0.0,100.39,100.39,0,1,0,2,6,3,0
1,1,0.0,133.83,133.83,0,1,0,1,5,1,0
1,1,0.0,108.09,108.09,0,1,0,1,7,4,0
1,1,0.0,150.14,150.14,0,1,0,1,2,3,0
